,features,Aggressive_label importance,Attractive_label importance,Confident_label importance,Intelligent_label importance,Masculine_label importance,Trust_label importance
10,American Indian or Native American,0.0,0.007842889125857065,0.012095890221573171,0.007370680135740611,0.024177030066010175,0.009397095197329501
91,WordPerSec,0.0369451530078927,0.023242869402742443,0.07459469712658053,0.01979748129575115,0.00801545676406825,0.009182698103984211
59,Vermont,0.0,0.015487085936278617,0.0038208100594360663,0.012465211958642312,0.013255252794192339,0.009133750843166599
41,Montana,0.01335206284806778,0.013344647871413432,0.03628243628478637,0.018752193891032345,0.012882264363540853,0.0070516160502335735
20,Colorado,0.012755035671917101,0.03304440960917392,0.06039471164343073,0.04563239089520457,0.05715545862219331,0.006418384957152037
26,Hawaii,0.003427807393386405,0.017315829149653093,0.02458240808575755,0.011677827224999725,0.01773416351991565,0.00492545242976917
34,Maine,0.03535444852287416,0.007642976162409135,0.004965456106405431,0.03427836555169567,0.021771386678088,0.0028839619265963925
15,Alabama,0.0,0.00893876033515576,0.014634696791758986,0.013078010192448574,0.02904608303882044,0.002517385424144769
62,West Virginia,0.0,0.000975581926893538,0.0077177240195717665,0.0015946756754102837,0.020424684475253647,0.0020913247361929056
46,New Mexico,0.004365564951407407,0.009906574492612329,0.022260792007986675,0.001919874011114719,0.009368357947002191,0.0
38,Minnesota,0.012073061362472867,0.049493831404493864,0.013837413609461764,0.018454234750940157,0.004622257098105221,0.0
55,South Dakota,0.016587547412341794,0.01483791545447863,0.0076292387790994065,0.010639391250603439,0.0,0.0
100,Phonecount_28,0.0,0.0,0.0026836644157180595,0.0,0.0,0.0
101,Phonecount_31,0.0,0.0,0.0019640742918161386,0.0,0.0,0.0
87,Phonecount,0.0,0.0,0.0,0.0,0.0,0.0
90,Wordcount,0.0,0.0,0.0,0.0,0.0,0.0
